PLAYER,YEAR,AGE,GP,W,L,MP,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_MR,PCT_PTS_3PT,PCT_PTS_FSTBRK,PCT_PTS_FT,PCT_PTS_OFF_TOS,PCT_PTS_INTHEPT,PCT_2PTGFM_ASSTD,PCT_2PTGFM_UNASSTD,PCT_3PTGFM_ASSTD,PCT_3PTGFM_UNASSTD,PCT_FGM_ASSTD,PCT_FGM_UNASSTD
Daryl Macon,2019,23,8.00,4.00,4.00,11.20,59.30,40.70,34.50,13.80,51.70,6.90,13.80,6.90,20.70,20.00,80.00,60.00,40.00,40.00,60.00
David Lee,2014,31,69.00,42.00,27.00,33.20,99.90,0.10,81.60,9.70,0.00,9.70,18.40,13.30,71.90,68.00,32.00,0.00,0.00,68.00,32.00
David Lee,2015,32,49.00,37.00,12.00,18.50,99.40,0.60,82.50,12.40,0.00,7.70,17.50,14.20,70.10,70.60,29.40,0.00,0.00,70.60,29.40
David Lee,2016,33,55.00,27.00,28.00,16.40,99.70,0.30,83.40,7.50,0.00,8.40,16.60,15.00,75.90,67.40,32.60,0.00,0.00,67.40,32.60
David Lee,2017,34,79.00,58.00,21.00,18.70,100.00,0.00,86.10,10.10,0.00,10.40,13.90,11.60,76.00,69.80,30.20,0.00,0.00,69.80,30.20
David Nwaba,2017,24,20.00,5.00,15.00,19.90,93.80,6.20,76.70,1.70,2.50,30.80,20.80,37.50,75.00,60.90,39.10,100.00,0.00,61.70,38.30
David Nwaba,2018,25,70.00,26.00,44.00,23.50,87.70,12.30,66.30,1.10,9.70,22.00,24.00,18.70,65.20,52.20,47.80,94.40,5.60,55.90,44.10
David Nwaba,2019,26,51.00,14.00,37.00,19.30,71.40,28.60,61.10,0.60,21.60,20.70,17.40,17.10,60.50,49.00,51.00,100.00,0.00,58.70,41.30
David Stockton,2015,24,3.00,1.00,2.00,11.00,66.70,33.30,25.00,0.00,37.50,25.00,37.50,25.00,25.00,0.00,100.00,100.00,0.00,50.00,50.00
David Stockton,2018,27,3.00,3.00,0.00,3.10,0.00,100.00,0.00,0.00,60.00,0.00,40.00,20.00,0.00,0.00,0.00,0.00,100.00,0.00,100.00
David Wear,2015,24,2.00,0.00,2.00,3.50,50.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
David West,2014,33,80.00,54.00,26.00,30.90,98.40,1.60,81.20,35.40,1.10,2.50,17.70,12.40,45.80,66.50,33.50,100.00,0.00,66.80,33.20
David West,2015,34,66.00,32.00,34.00,28.70,97.10,2.90,83.00,48.60,1.60,2.30,15.50,13.00,34.30,74.00,26.00,100.00,0.00,74.30,25.70
David West,2016,35,78.00,63.00,15.00,18.00,98.40,1.60,87.00,38.30,1.60,3.20,11.40,13.40,48.70,78.40,21.60,100.00,0.00,78.70,21.30
David West,2017,36,68.00,56.00,12.00,12.60,96.80,3.20,83.50,35.40,2.80,5.40,13.60,13.60,48.10,79.50,20.50,100.00,0.00,80.00,20.00
David West,2018,37,73.00,52.00,21.00,13.70,97.90,2.10,86.10,27.10,1.80,8.10,12.10,12.30,59.00,76.10,23.90,66.70,33.30,75.90,24.10
Davis Bertans,2017,24,67.00,51.00,16.00,12.10,26.10,73.90,22.40,4.60,68.30,12.20,9.20,14.20,17.80,76.50,23.50,95.70,4.30,89.30,10.70
Davis Bertans,2018,25,77.00,43.00,34.00,14.10,31.10,68.90,29.40,5.70,61.80,14.50,8.80,18.60,23.70,83.60,16.40,100.00,0.00,93.20,6.80
Davis Bertans,2019,26,76.00,44.00,32.00,21.50,25.40,74.60,19.50,6.90,71.80,13.90,8.70,11.60,12.50,83.10,16.90,98.60,1.40,94.10,5.90
Davon Reed,2018,23,21.00,2.00,19.00,11.50,50.00,50.00,34.90,9.50,52.40,11.10,12.70,9.50,25.40,45.50,54.50,100.00,0.00,72.70,27.30
Davon Reed,2019,23,10.00,4.00,6.00,4.70,66.70,33.30,50.00,0.00,50.00,41.70,0.00,16.70,50.00,33.30,66.70,100.00,0.00,60.00,40.00
De'Aaron Fox,2018,20,73.00,24.00,49.00,27.70,80.80,19.20,66.60,20.10,16.70,18.80,16.70,16.40,46.40,21.70,78.30,61.70,38.30,27.40,72.60
De'Aaron Fox,2019,21,81.00,39.00,42.00,31.40,78.90,21.10,59.90,11.60,18.40,24.90,21.70,23.20,48.30,17.20,82.80,52.30,47.70,23.20,76.80
De'Anthony Melton,2019,21,50.00,13.00,37.00,19.70,62.90,37.10,56.80,5.60,34.80,18.80,8.40,18.80,51.20,33.80,66.20,100.00,0.00,53.00,47.00
DeAndre Jordan,2014,25,82.00,57.00,25.00,35.00,100.00,0.00,81.30,0.70,0.00,14.70,18.70,15.10,80.60,74.40,25.60,0.00,0.00,74.40,25.60
DeAndre Jordan,2015,26,82.00,56.00,26.00,34.40,99.30,0.70,79.90,0.20,0.30,12.30,19.80,14.20,79.70,69.00,31.00,0.00,100.00,68.90,31.10
DeAndre Jordan,2016,27,77.00,51.00,26.00,33.70,99.80,0.20,72.90,0.20,0.00,8.90,27.10,13.70,72.70,78.20,21.80,0.00,0.00,78.20,21.80
DeAndre Jordan,2017,28,81.00,51.00,30.00,31.70,99.70,0.30,80.10,0.00,0.00,10.00,19.90,12.20,80.10,72.30,27.70,0.00,0.00,72.30,27.70
DeAndre Jordan,2018,29,77.00,39.00,38.00,31.50,100.00,0.00,80.50,0.00,0.00,10.90,19.50,14.70,80.50,66.50,33.50,0.00,0.00,66.50,33.50
DeAndre Jordan,2019,30,69.00,25.00,44.00,29.70,100.00,0.00,75.50,0.30,0.00,8.00,24.50,11.90,75.20,71.30,28.70,0.00,0.00,71.30,28.70
DeAndre Liggins,2014,26,1.00,1.00,0.00,1.40,100.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,100.00,0.00,0.00,0.00,100.00
DeAndre Liggins,2017,29,62.00,40.00,22.00,12.50,67.60,32.40,50.00,3.90,33.60,17.80,16.40,17.10,46.10,44.70,55.30,94.10,5.90,60.00,40.00
DeAndre Liggins,2018,30,58.00,34.00,24.00,12.50,50.00,50.00,41.60,17.80,56.40,17.80,2.00,14.90,23.80,42.90,57.10,94.70,5.30,67.50,32.50
DeAndre' Bembry,2017,22,38.00,20.00,18.00,9.80,81.60,18.40,91.10,9.90,3.00,20.80,5.90,8.90,81.20,69.60,30.40,100.00,0.00,70.20,29.80
DeAndre' Bembry,2018,23,26.00,8.00,18.00,17.50,76.60,23.40,61.80,1.50,24.30,20.60,14.00,22.80,60.30,40.50,59.50,100.00,0.00,52.80,47.20
DeAndre' Bembry,2019,24,82.00,29.00,53.00,23.60,71.90,28.10,65.50,0.60,21.80,18.60,12.70,19.20,64.90,48.40,51.60,94.00,6.00,56.70,43.30
DeJuan Blair,2014,25,78.00,46.00,32.00,15.60,99.50,0.50,84.50,2.40,0.00,9.50,15.50,12.90,82.10,73.30,26.70,0.00,0.00,73.30,26.70
DeJuan Blair,2015,26,29.00,15.00,14.00,6.20,100.00,0.00,92.90,3.60,0.00,10.70,7.10,7.10,89.30,69.20,30.80,0.00,0.00,69.20,30.80
